shotFrom,distToHole,strokesToHole
T,91,2.92
T,92,2.92
T,93,2.93
T,94,2.93
T,95,2.93
T,96,2.94
T,97,2.94
T,98,2.94
T,99,2.95
T,100,2.95
T,101,2.96
T,101,2.96
T,102,2.96
T,103,2.97
T,104,2.97
T,105,2.97
T,106,2.98
T,107,2.98
T,108,2.98
T,109,2.99
T,110,2.99
T,111,2.99
T,112,2.99
T,112,2.99
T,113,2.99
T,114,2.99
T,115,2.98
T,116,2.98
T,117,2.98
T,118,2.98
T,119,2.98
T,120,2.98
T,121,2.98
T,122,2.98
T,123,2.98
T,123,2.98
T,124,2.97
T,125,2.97
T,126,2.97
T,127,2.97
T,128,2.97
T,129,2.97
T,130,2.97
T,131,2.97
T,132,2.97
T,133,2.98
T,134,2.98
T,134,2.98
T,135,2.98
T,136,2.98
T,137,2.98
T,138,2.98
T,139,2.98
T,140,2.98
T,141,2.98
T,142,2.99
T,143,2.99
T,144,2.99
T,144,2.99
T,145,2.99
T,146,2.99
T,147,2.99
T,148,3
T,149,3
T,150,3
T,151,3.01
T,152,3.01
T,153,3.01
T,154,3.01
T,155,3.02
T,155,3.02
T,156,3.02
T,157,3.03
T,158,3.03
T,159,3.03
T,160,3.04
T,161,3.04
T,162,3.04
T,163,3.04
T,164,3.05
T,165,3.05
T,166,3.05
T,166,3.06
T,167,3.06
T,168,3.06
T,169,3.07
T,170,3.07
T,171,3.07
T,172,3.08
T,173,3.08
T,174,3.09
T,175,3.09
T,176,3.09
T,176,3.1
T,177,3.1
T,178,3.1
T,179,3.11
T,180,3.11
T,181,3.11
T,182,3.12
T,183,3.12
T,184,3.12
T,185,3.13
T,186,3.13
T,187,3.13
T,187,3.13
T,188,3.14
T,189,3.14
T,190,3.14
T,191,3.14
T,192,3.15
T,193,3.15
T,194,3.15
T,195,3.15
T,196,3.16
T,197,3.16
T,198,3.16
T,198,3.16
T,199,3.17
T,200,3.17
T,201,3.17
T,202,3.17
T,203,3.18
T,204,3.18
T,205,3.19
T,206,3.19
T,207,3.19
T,208,3.2
T,208,3.2
T,209,3.21
T,210,3.21
T,211,3.21
T,212,3.22
T,213,3.22
T,214,3.23
T,215,3.23
T,216,3.23
T,217,3.24
T,218,3.24
T,219,3.25
T,219,3.25
T,220,3.26
T,221,3.27
T,222,3.28
T,223,3.29
T,224,3.3
T,225,3.31
T,226,3.32
T,227,3.33
T,228,3.34
T,229,3.35
T,230,3.36
T,230,3.37
T,231,3.38
T,232,3.39
T,233,3.4
T,234,3.41
T,235,3.42
T,236,3.43
T,237,3.44
T,238,3.45
T,239,3.46
T,240,3.47
T,240,3.48
T,241,3.49
T,242,3.5
T,243,3.51
T,244,3.52
T,245,3.53
T,246,3.54
T,247,3.55
T,248,3.56
T,249,3.57
T,250,3.58
T,251,3.59
T,251,3.6
T,252,3.61
T,253,3.62
T,254,3.63
T,255,3.64
T,256,3.65
T,257,3.65
T,258,3.66
T,259,3.66
T,260,3.66
T,261,3.67
T,262,3.67
T,262,3.67
T,263,3.67
T,264,3.68
T,265,3.68
T,266,3.68
T,267,3.69
T,268,3.69
T,269,3.69
T,270,3.7
T,271,3.7
T,272,3.7
T,272,3.7
T,273,3.71
T,274,3.71
T,275,3.71
T,276,3.72
T,277,3.72
T,278,3.73
T,279,3.73
T,280,3.73
T,281,3.74
T,282,3.74
T,283,3.75
T,283,3.75
T,284,3.75
T,285,3.76
T,286,3.76
T,287,3.77
T,288,3.77
T,289,3.77
T,290,3.78
T,291,3.78
T,292,3.79
T,293,3.79
T,294,3.79
T,294,3.8
T,295,3.8
T,296,3.8
T,297,3.81
T,298,3.81
T,299,3.81
T,300,3.82
T,301,3.82
T,302,3.83
T,303,3.83
T,304,3.83
T,304,3.84
T,305,3.84
T,306,3.84
T,307,3.85
T,308,3.85
T,309,3.85
T,310,3.86
T,311,3.86
T,312,3.86
T,313,3.87
